C1,C2,C3,C4,C5
13,25,30,36,41
1,3,8,28,41
5,14,28,31,39
5,29,33,34,39
8,12,16,21,27
1,8,14,23,40
3,30,32,38,41
22,34,36,37,43
10,13,22,26,42
4,5,13,16,41
5,6,7,28,32
2,22,24,27,37
5,12,25,26,43
2,8,14,19,28
7,24,29,30,38
18,24,28,36,40
4,11,22,25,26
1,13,24,27,39
13,29,30,40,42
2,7,14,25,31
7,18,23,31,36
8,17,26,27,31
10,18,21,24,43
3,19,20,21,28
2,10,27,30,31
7,11,16,30,35
10,11,37,40,41
2,19,22,25,37
6,14,21,28,35
10,20,21,34,36
1,5,18,38,41
1,9,13,16,30
9,17,28,35,38
13,22,27,40,41
1,2,15,36,39
5,8,11,16,32
2,21,27,36,40
1,3,26,33,34
19,20,28,40,42
9,19,20,36,37
1,2,5,16,23
22,26,29,30,39
22,30,32,40,42
3,5,11,25,29
12,19,20,33,37
17,20,26,35,40
6,18,34,40,43
2,21,22,30,34
7,15,23,30,32
7,19,27,31,36
5,13,19,21,25
5,10,21,28,42
1,3,12,15,23
9,24,25,27,40
1,8,14,28,34
5,12,23,28,35
12,19,24,37,42
5,19,24,27,29
16,21,24,26,33
6,29,37,39,43
8,28,33,41,43
1,14,36,37,40
7,14,18,27,28
17,24,26,28,40
7,15,22,25,32
14,19,21,22,23
1,10,11,23,33
6,13,17,33,38
7,15,23,29,35
4,15,31,36,40
3,4,5,7,21
11,21,22,38,42
4,6,17,24,25
5,7,8,12,25
6,17,22,30,42
6,8,15,32,33
1,13,16,19,20
1,4,21,27,33
4,6,27,35,39
14,28,33,34,35
10,16,23,31,43
2,20,32,37,43
13,20,25,30,35
5,7,11,17,22
2,23,30,33,40
4,31,37,41,42
17,18,36,37,42
27,31,32,42,43
5,7,11,16,29
3,12,19,20,24
6,10,25,31,36
3,19,34,37,43
22,23,27,28,30
2,5,10,23,34
4,8,9,28,37
4,23,28,29,31
3,5,25,30,42
9,12,16,21,30
8,29,32,34,42
3,9,12,34,35
8,12,18,40,43
1,15,22,36,37
1,4,5,16,30
7,14,20,34,41
9,15,25,27,33
7,8,21,30,42
1,5,8,14,40
6,19,20,37,38
6,21,22,34,36
26,29,39,42,43
21,22,23,33,41
5,9,16,29,42
8,15,30,35,36
7,8,18,34,42
14,18,20,32,33
7,9,15,16,26
21,22,29,30,38
6,22,28,32,36
1,27,28,34,37
6,10,15,33,42
14,18,20,39,41
2,9,24,26,42
10,14,32,35,42
8,12,15,31,38
12,14,18,37,40
7,18,20,22,34
8,18,21,30,43
1,7,9,31,40
22,30,31,34,41
8,14,25,31,34
8,9,25,32,41
15,20,34,35,38
2,10,11,18,23
14,19,40,41,43
9,17,39,41,43
20,28,35,37,39
1,16,24,36,42
5,20,22,32,35
5,15,27,34,35
1,2,11,15,33
2,8,11,13,22
11,14,15,22,25
2,5,7,20,34
12,14,18,28,40
17,19,21,24,40
7,13,17,21,36
4,5,29,37,42
18,35,37,39,42
1,6,16,22,31
6,7,9,18,35
12,15,22,26,28
17,25,29,34,36
9,13,24,29,38
13,15,16,24,43
9,11,22,26,42
1,4,6,12,22
2,8,20,35,38
1,15,20,31,35
2,18,22,24,28
5,11,29,30,43
2,5,16,24,39
8,24,34,38,42
17,19,20,21,26
10,33,36,40,43
8,11,30,31,38
1,2,11,34,41
4,13,20,27,42
14,17,24,25,41
1,5,13,27,30
12,15,28,35,38
8,18,19,22,32
3,9,22,23,36
5,9,27,38,42
1,6,24,33,43
1,7,22,28,38
14,18,24,37,43
3,22,27,31,32
7,13,36,38,42
3,8,25,36,38
15,20,26,37,40
1,4,5,29,33
17,18,19,27,37
1,4,10,16,25
1,11,31,33,36
9,27,36,43,39
9,40,37,42,3
33,19,40,23,34
6,37,16,4,36
8,18,38,3,7
43,42,11,33,24
31,20,27,34,41
9,7,23,16,28
17,1,5,8,30
35,16,42,13,38
39,28,40,6,16
9,25,43,4,20
3,40,10,5,30
40,34,38,14,27
43,4,41,18,30
27,21,26,31,30
26,7,33,5,20
38,15,42,27,20
13,21,19,36,25
5,14,10,40,37
29,25,6,41,20
17,25,35,13,26
37,20,35,32,24
5,6,17,22,31
31,22,43,24,28
1,32,12,43,7
26,18,1,14,19
30,16,32,28,39
28,7,39,9,14
30,24,32,29,9
11,7,8,12,38
8,13,1,42,12
1,8,29,21,35
16,43,23,39,31
28,34,11,9,7
3,40,11,39,29
19,8,2,11,26
26,43,2,30,20
14,19,4,25,31
8,13,43,6,32
13,35,6,41,33
22,14,15,36,1
24,19,5,18,6
3,15,8,33,22
39,34,6,37,1
21,14,36,26,18
22,16,25,13,1
15,16,34,39,26
36,23,27,5,2
15,23,39,14,17
3,10,35,9,19
7,32,42,13,19
25,36,34,30,3
21,35,20,4,2
5,33,8,19,30
21,33,12,4,2
37,42,28,3,5
1,8,3,31,35
19,29,1,3,15
37,41,12,25,21
9,24,40,39,21
5,8,20,24,37
4,2,6,25,9
4,31,34,30,9
13,2,42,32,10
30,28,31,20,36
19,43,36,4,22
5,17,31,14,34
33,25,27,10,11
39,17,9,7,38
37,26,23,27,33
19,8,2,11,26
2,20,26,30,43
41,16,33,38,14
32,14,21,33,19
28,41,35,9,6
33,15,43,2,23
1,40,10,12,39
24,31,39,27,30
23,7,40,37,9
8,20,25,2,17
31,27,11,32,3
32,42,12,37,36
40,17,33,32,25
42,24,2,37,17
