C1,C2,C3,C4,C5
2,9,10,29,31
7,14,19,37,40
14,25,28,34,36
3,12,29,33,37
4,9,25,31,36
7,8,13,27,41
23,24,25,26,38
1,23,24,26,42
1,2,5,30,43
3,19,30,36,39
12,15,29,39,41
15,21,23,36,37
3,11,15,23,26
2,4,6,16,34
5,15,27,28,41
5,27,34,36,39
7,15,26,41,43
8,25,31,33,39
5,15,27,36,38
1,4,10,14,25
1,11,24,32,39
3,19,23,30,40
16,19,20,22,25
4,11,22,34,38
4,8,24,26,32
1,9,18,23,38
8,15,21,27,35
7,15,18,29,32
10,15,21,33,39
8,36,37,38,42
4,13,22,36,37
5,18,29,33,34
8,9,11,36,42
10,13,18,19,37
7,25,29,32,41
5,12,32,34,43
1,5,16,26,29
4,11,12,21,36
6,10,18,27,35
2,5,7,12,22
9,17,21,34,40
4,12,13,24,32
3,8,9,23,35
23,24,25,29,40
2,3,4,11,33
10,25,26,27,29
5,16,18,28,41
9,15,19,30,34
14,22,25,32,40
10,18,20,22,24
4,19,32,35,41
3,16,21,28,39
6,11,20,22,33
5,18,19,25,36
5,10,13,16,18
4,5,15,36,42
18,23,26,35,36
1,17,27,29,38
6,11,13,40,43
3,6,9,31,32
7,10,17,37,43
1,9,11,23,41
2,11,13,22,38
1,3,9,22,25
3,5,11,37,40
3,8,12,15,38
5,6,8,21,23
7,15,34,40,42
5,17,23,28,35
7,18,19,33,35
3,11,18,36,37
1,6,12,40,42
2,14,28,34,39
5,10,12,24,41
7,17,19,27,36
2,3,14,38,42
8,10,18,31,42
13,22,26,36,38
14,15,38,42,43
2,22,30,35,39
5,22,28,29,38
5,19,30,35,37
8,11,25,31,32
4,10,28,37,43
7,13,27,29,41
1,2,8,34,36
5,10,20,22,41
14,16,18,24,31
19,27,33,35,40
6,9,16,22,27
5,9,10,18,27
9,23,31,39,42
1,16,34,41,43
3,15,17,29,32
5,10,24,29,41
4,6,8,9,16
17,26,31,35,38
13,20,29,39,40
2,9,13,35,39
5,16,31,32,33
1,8,18,29,40
3,5,22,26,35
1,9,10,13,27
6,7,26,27,41
18,19,25,26,43
2,6,28,34,38
5,8,14,26,33
15,16,17,39,41
4,14,31,32,43
23,28,35,37,38
1,9,13,22,29
5,17,21,26,31
3,5,25,27,36
20,24,27,29,36
15,16,24,26,40
3,7,23,35,36
3,13,16,36,40
8,19,28,36,40
2,9,17,24,25
1,8,19,29,40
1,6,21,34,40
3,11,22,27,39
15,21,31,32,33
6,9,19,37,39
8,13,22,24,30
3,7,9,17,39
3,20,27,40,43
7,12,20,23,32
8,15,30,36,41
11,19,28,32,36
7,12,27,35,41
4,22,28,35,37
12,24,34,37,40
8,23,27,33,42
6,7,23,36,43
4,9,13,18,25
19,30,38,39,41
10,20,25,30,36
4,8,12,27,41
2,10,15,22,25
6,10,25,26,27
13,14,18,21,39
1,2,18,19,23
6,9,16,17,26
12,19,31,42,43
4,12,35,39,43
3,19,26,32,43
5,7,23,34,43
11,12,28,29,32
1,11,22,32,33
1,4,12,13,33
4,7,19,33,39
6,20,24,30,40
9,11,15,20,35
25,27,31,42,43
9,25,33,35,40
9,16,19,29,39
7,25,34,42,43
3,16,22,26,40
5,20,35,38,43
14,15,26,28,40
16,17,24,26,28
2,8,21,38,43
20,21,38,40,43
9,16,18,21,27
2,12,17,30,32
1,5,9,21,24
22,24,34,38,43
12,14,35,38,40
22,24,31,33,34
18,24,29,40,41
3,14,15,19,31
2,11,12,24,43
2,3,8,15,33
1,12,13,33,36
5,8,9,21,42
7,17,33,35,41
40,23,20,32,17
33,32,29,43,39
19,3,9,4,26
5,22,12,21,18
7,21,35,32,9
34,3,2,24,7
34,13,2,38,16
32,28,33,23,38
16,34,28,30,18
24,5,39,34,9
22,30,40,33,29
37,28,13,33,43
28,35,4,14,32
27,1,15,30,43
31,13,10,28,7
27,39,13,14,28
36,12,18,5,32
3,23,29,38,30
17,6,31,15,7
12,35,19,24,34
41,3,11,10,19
19,22,11,2,6
22,11,23,24,5
28,12,14,4,38
28,38,32,22,23
23,31,27,26,42
8,36,21,1,28
42,33,29,6,40
25,10,17,28,18
31,3,7,26,10
12,22,28,42,43
31,6,37,1,16
14,16,34,27,41
19,7,15,43,3
5,30,31,14,20
25,15,2,22,10
11,41,12,8,29
16,2,34,9,31
31,42,40,22,35
30,35,27,15,4
13,6,15,38,12
3,4,6,18,36
13,37,8,7,18
33,20,39,31,30
9,7,29,10,11
26,22,17,16,36
38,33,6,28,34
39,4,8,17,40
40,15,33,13,14
22,8,10,25,1
20,35,7,3,31
43,15,14,20,12
24,2,40,6,32
35,27,26,43,1
4,42,19,12,17
33,26,4,41,9
15,1,33,22,12
43,12,34,18,32
6,8,20,34,41
9,10,18,29,32
6,3,7,42,26
32,16,11,37,34
6,37,36,38,17
22,3,5,15,42
5,43,23,34,16
31,10,36,41,17
24,34,33,12,36
36,35,3,37,14
1,7,20,36,39
14,2,5,30,36
29,21,20,8,38
20,5,9,30,11
33,15,43,5,19
30,8,20,1,17
43,12,26,2,7
26,39,6,41,21
16,25,9,5,26
24,43,26,25,4
33,20,39,31,30
7,9,10,11,29
35,16,15,6,12
11,5,34,12,13
36,21,22,4,7
14,24,42,36,18
42,37,21,34,26
40,33,31,41,37
16,27,36,26,42
24,1,9,4,23
32,39,14,33,25
14,32,33,1,12
34,40,17,33,11
17,29,22,27,21
36,4,8,21,43
8,35,9,33,42
42,11,6,13,16
17,26,38,20,33
40,27,8,18,42
23,38,8,12,37
6,42,26,18,5
28,38,23,9,21
20,25,7,26,30
39,19,36,1,35
13,31,7,10,5
10,32,35,16,26
26,20,38,37,29
12,39,38,1,41
31,5,11,1,28
36,23,40,37,30
