Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6
1,5,9,13,30,40
9,16,32,36,38,41
1,5,6,8,30,33
2,7,15,19,24,39
22,23,24,28,37,42
9,19,26,32,34,42
11,15,16,20,21,24
20,24,27,31,33,41
11,21,23,24,32,33
6,12,21,23,35,41
4,9,14,24,31,36
12,13,14,22,29,42
8,15,21,30,32,42
4,10,12,17,32,41
1,10,17,28,30,39
10,14,21,32,36,37
4,17,23,25,33,38
1,4,9,22,29,33
6,22,28,31,35,37
5,11,13,27,29,36
12,20,25,28,33,38
3,9,19,24,33,35
9,14,16,17,25,28
2,15,18,22,33,42
17,22,30,33,37,39
6,9,11,32,36,42
2,10,16,17,22,31
4,9,27,32,33,34
2,6,14,23,29,32
9,20,22,24,27,31
3,9,18,23,30,33
5,21,24,28,34,37
6,8,9,23,33,37
16,23,28,29,36,41
2,11,16,22,26,34
9,19,29,30,31,39
11,18,23,24,29,37
22,26,27,31,34,36
6,8,13,33,34,37
15,17,20,35,39,42
3,11,15,28,36,39
4,7,15,40,41,42
7,10,12,27,28,32
2,4,11,14,25,41
13,14,18,21,33,39
4,8,12,20,39,41
4,7,21,24,36,38
5,7,14,18,35,41
6,16,23,24,29,31
1,17,30,31,34,35
3,4,13,19,21,34
4,5,6,18,24,36
4,23,29,31,33,42
5,10,21,22,26,41
6,23,29,31,35,40
8,12,17,33,34,41
3,21,23,27,35,36
4,19,30,32,38,42
4,6,18,23,26,29
5,12,19,29,31,37
2,5,13,16,30,38
9,10,24,27,32,39
4,5,10,19,22,33
5,8,9,13,31,40
1,3,6,12,19,24
8,10,14,27,28,30
9,16,27,29,36,39
7,17,26,35,36,37
12,13,18,29,34,41
1,4,17,19,36,42
5,7,15,25,37,41
4,7,16,22,37,40
3,6,17,22,26,30
2,6,9,23,27,31
2,5,7,11,23,33
2,3,7,15,20,42
5,10,19,21,24,32
3,5,18,28,36,37
2,3,18,28,31,41
2,3,6,7,18,38
14,20,21,24,30,33
6,7,10,30,33,35
7,8,10,18,20,41
2,3,15,19,20,36
8,9,20,31,40,41
1,21,25,30,37,39
8,14,20,28,30,41
4,9,20,24,39,41
6,7,22,25,29,38
4,26,27,31,35,40
2,18,25,34,38,40
3,15,17,19,29,30
4,17,18,32,36,40
9,13,19,20,34,37
3,6,9,11,12,23
1,17,24,26,30,31
3,4,8,16,25,28
5,7,11,28,33,41
2,12,13,14,16,42
4,7,12,28,30,39
25,28,29,32,36,39
14,15,21,25,29,36
1,3,11,18,23,35
3,11,12,34,41,42
6,13,14,25,30,38
8,10,12,18,24,36
2,11,12,13,20,40
1,2,5,26,35,38
4,6,10,11,15,21
8,20,29,31,32,40
5,6,9,33,36,41
7,16,23,25,33,40
11,12,15,27,34,40
2,15,22,28,29,41
10,15,20,29,30,41
4,6,7,13,36,39
6,9,12,14,22,29
16,17,19,28,35,39
20,35,36,38,41,42
7,16,17,18,30,31
17,24,26,27,32,40
9,14,23,25,33,42
4,6,21,32,36,40
1,4,17,27,35,36
5,14,22,23,25,31
3,5,16,19,24,31
8,19,21,24,40,42
2,4,15,26,28,33
16,20,23,26,27,29
2,5,30,40,41,42
7,16,29,32,42,4
18,19,25,29,32,37
1,17,19,24,32,33
4,6,11,22,25,34
4,11,18,25,32,42
5,7,20,36,38,39
2,16,24,28,30,41
3,6,11,20,22,32
9,13,27,34,35,41
7,11,12,18,21,25
4,20,27,28,34,40
5,13,18,26,31,36
4,20,29,33,37,41
8,13,23,24,26,41
1,3,5,17,29,36
5,14,25,33,37,41
1,6,14,18,20,33
1,2,9,30,41,42
2,4,9,13,20,34
1,8,20,22,28,35
2,8,17,20,28,33
13,24,25,33,38,42
1,4,10,11,15,25
22,25,27,33,35,37
20,21,28,32,41,42
4,5,15,19,24,25
1,20,22,29,32,39
4,11,22,27,33,40
3,17,23,30,37,40
6,9,11,21,22,25
12,14,16,19,29,36
5,9,15,25,34,42
5,7,13,23,32,38
16,17,18,30,35,36
5,10,26,27,33,38
11,13,15,25,32,33
4,6,10,20,36,40
5,6,8,29,30,38
4,16,20,22,30,35
6,10,11,14,19,34
2,4,8,9,13,18
3,9,15,20,21,24
8,24,28,29,34,36
11,20,21,27,28,29
6,12,16,35,37,39
2,5,10,24,27,38
9,11,22,25,31,39
1,2,9,14,16,22
1,6,11,20,28,29
6,10,13,18,28,42
13,16,21,34,37,42
3,8,14,23,35,38
2,4,6,19,30,38
8,14,17,18,20,35
3,11,12,17,38,41
2,7,10,11,26,31
1,18,23,26,29,34
7,11,13,14,21,30
13,16,21,28,30,34
7,20,27,29,38,41
12,15,24,28,37,39
8,14,16,26,32,37
21,24,27,32,36,40
4,8,25,32,40,41
5,6,8,12,17,39
6,7,12,20,29,39
9,10,16,20,23,36
2,12,14,18,33,36
8,26,30,31,34,37
14,17,31,32,33,40
15,17,19,20,34,39
15,18,22,24,31,37
9,13,16,34,38,40
4,5,9,16,21,38
10,17,24,30,34,37
5,13,14,30,38,42
11,24,28,31,33,37
3,16,26,27,31,36
2,4,5,18,21,37
2,19,29,31,36,39
9,13,16,31,34,39
6,18,22,31,35,37
4,5,16,19,27,39
5,9,25,28,37,38
3,16,17,18,29,33
15,21,31,36,37,41
6,10,22,23,25,35
2,19,22,23,25,27
11,12,17,21,40,42
9,19,21,23,30,42
4,6,14,16,23,36
4,17,21,22,32,33
6,12,13,15,29,30
10,20,21,26,31,36
12,21,26,27,37,38
13,30,33,37,40,41
1,16,33,35,36,41
11,21,22,27,29,38
5,17,18,19,35,40
11,15,16,19,20,41
12,15,29,33,35,38
5,11,20,26,36,40
1,16,17,24,30,32
9,19,25,31,33,38
1,16,19,21,22,23
5,6,15,16,29,30
2,3,8,13,33,37
7,14,17,23,26,33
7,12,14,25,32,38
1,3,17,18,28,31
6,7,10,20,34,41
6,17,24,26,38,42
8,25,28,32,36,37
1,6,13,20,32,38
6,12,13,16,37,42
3,7,8,19,35,42
11,15,21,28,30,32
4,7,16,17,24,39
2,8,19,20,28,37
21,23,31,32,34,39
9,17,18,25,30,32
9,12,13,30,31,35
5,11,15,19,23,37
6,20,23,31,34,40
15,16,28,34,37,38
3,13,19,20,34,38
1,17,24,27,38,40
1,12,21,31,34,38
1,10,12,34,36,37
11,24,25,27,40,42
8,10,24,31,33,39
9,15,28,30,32,41
3,19,23,26,34,35
3,13,14,16,19,32
4,18,25,35,36,40
14,15,21,32,37,41
9,22,31,34,37,42
2,8,12,17,31,33
9,20,23,27,33,39
26,27,29,30,31,39
10,14,18,28,32,33
10,12,14,18,30,41
9,14,18,27,37,38
3,4,7,14,15,39
1,28,35,38,39,42
7,28,30,32,36,40
6,10,25,30,33,38
6,9,31,33,34,40
2,9,18,21,25,34
2,7,10,24,33,37
10,13,23,25,33,35
8,9,13,17,32,40
2,9,23,29,31,38
1,6,10,21,22,36
4,13,19,21,25,37
9,10,11,17,18,31
18,22,28,30,33,34
1,12,15,28,31,35
2,20,23,27,29,39
12,23,28,29,36,42
3,12,20,33,34,38
3,10,15,20,41,42
4,6,7,12,21,36
6,20,24,25,29,41
10,15,23,29,32,36
10,13,16,23,33,40
19,29,36,37,38,41
2,12,15,19,29,34
1,2,7,8,12,38
2,9,18,20,24,37
16,20,21,24,30,31
4,10,13,27,31,33
9,14,19,26,33,41
5,7,9,13,17,39
10,13,19,26,32,42
3,9,19,21,24,35
12,15,19,31,32,37
3,17,18,22,34,41
4,21,27,32,34,42
6,13,18,23,26,33
5,25,26,29,30,36
1,11,18,20,27,34
6,12,13,18,21,40
3,4,7,14,18,40
11,17,29,36,41,42
1,6,20,21,31,35
1,4,10,14,20,28
4,9,19,23,33,34
3,19,23,24,27,37
4,8,20,25,34,40
13,15,23,24,29,37
17,18,23,30,33,35
7,22,26,36,37,38
7,19,25,28,33,40
4,7,15,20,33,34
7,26,29,32,35,41
2,3,12,25,36,40
3,17,26,31,39,41
3,4,26,30,33,40
8,10,11,20,26,27
9,14,20,23,25,29
7,14,15,20,31,33
3,14,15,16,20,27
5,15,25,35,41,42
4,12,13,14,26,35
1,6,7,18,34,40
5,11,12,19,21,31
2,12,22,23,28,33
8,11,13,21,22,35
3,7,14,37,39,42
8,12,15,19,27,36
8,12,18,27,34,41
14,18,20,22,23,30
24,25,30,32,35,37
10,12,17,32,35,42
4,9,11,16,23,33
3,7,19,20,32,33
4,12,13,17,27,32
7,12,19,35,37,42
13,14,20,22,33,39
1,2,19,31,37,38
7,14,15,18,30,38
4,7,15,17,27,37
3,19,22,30,40,42
10,11,19,21,33,42
2,20,26,30,40,41
6,8,10,18,22,42
8,18,21,30,35,39
15,17,19,21,23,28
7,13,17,22,27,37
5,6,10,14,39,40
4,6,7,20,21,35
3,10,18,24,37,42
9,16,19,25,36,38
6,9,17,19,25,38
16,20,21,24,32,41
7,12,14,31,32,41
11,23,31,33,37,38
20,22,24,26,27,37
3,19,24,27,29,36
4,5,12,13,19,23
9,11,14,16,26,37
7,25,27,28,35,39
12,14,20,21,22,29
12,16,31,32,33,37
3,10,11,14,16,28
5,21,23,34,39,40
1,6,26,29,33,36
7,8,19,26,35,37
2,6,12,13,24,42
5,14,21,33,35,38
1,16,19,28,39,40
2,4,13,14,15,23
6,11,12,16,28,36
1,9,18,25,28,32
9,19,25,27,32,36
2,11,19,27,38,39
3,11,12,13,20,37
10,15,23,28,29,36
11,12,19,26,31,34
1,15,18,19,27,38
12,18,21,26,35,38
7,10,14,21,22,42
8,23,30,36,37,39
6,12,14,19,28,31
4,14,18,21,28,32
11,16,20,21,23,38
5,9,17,28,30,34
7,8,19,34,37,42
4,7,9,12,14,33
5,6,23,30,34,39
2,22,23,30,37,42
1,9,14,15,20,33
3,11,30,34,38,42
22,26,28,37,39,40
3,5,6,19,22,31
1,10,11,28,32,37
3,4,12,18,23,26
8,19,21,31,38,39
7,11,14,18,29,38
8,10,15,17,24,31
1,10,11,14,30,33
10,19,29,33,37,38
8,18,23,24,34,37
4,10,15,19,39,42
1,5,6,30,38,40
17,20,22,23,27,40
2,12,14,19,22,29
7,10,12,13,18,38
8,10,13,28,29,35
14,26,29,30,36,40
4,7,15,25,28,29
17,19,35,37,38,42
2,4,18,23,28,39
4,12,20,21,22,42
2,7,23,29,36,42
4,9,12,20,24,28
3,9,21,26,33,36
10,21,26,30,33,35
20,27,28,30,34,38
9,12,20,24,28,31
17,23,24,29,36,40
10,22,31,32,38,41
5,10,19,24,33,34
1,9,10,19,32,41
7,21,22,29,36,37
1,9,18,27,40,42
15,18,22,30,33,37
6,8,13,15,26,42
1,9,12,13,16,31
16,20,26,35,39,42
3,9,16,26,35,38
1,3,11,14,35,39
17,18,19,35,38,42
2,15,16,20,33,42
2,4,5,22,28,37
6,14,16,19,35,39
5,19,28,32,35,42
1,7,20,21,35,39
7,16,24,27,29,34
9,17,25,34,37,39
4,18,23,27,31,36
2,4,6,9,15,29
2,9,13,16,18,25
2,10,14,24,35,40
3,22,23,24,33,34
4,10,18,19,25,34
6,8,13,18,20,26
8,15,24,28,39,41
8,13,20,23,28,34
6,19,20,24,29,31
3,4,7,13,22,40
2,7,13,31,36,42
2,4,6,8,26,28
2,5,11,32,40,42
8,10,18,23,24,40
2,12,13,28,37,42
2,8,17,28,32,37
16,20,22,27,33,40
4,10,23,33,34,37
12,16,21,22,29,35
10,22,23,33,35,39
4,16,17,22,30,33
2,4,5,9,12,29
8,13,27,28,30,34
3,25,36,38,39,40
4,5,15,16,21,33
13,24,30,32,40,42
7,9,11,14,36,40
11,19,20,22,33,34
21,27,29,36,38,39
5,17,25,37,38,42
11,14,17,19,20,42
8,13,18,21,33,39
8,12,24,34,39,40
1,4,5,21,32,34
2,12,17,27,28,36
4,5,14,25,26,40
8,16,19,28,33,40
6,12,15,25,33,37
7,8,19,27,28,36
11,15,19,29,30,36
7,10,11,14,25,32
5,9,20,25,32,35
8,11,14,17,20,28
2,20,22,29,32,39
6,10,19,25,30,35
7,10,16,31,39,41
6,12,19,30,37,39
6,9,22,33,34,39
1,6,13,23,37,38
2,13,22,23,31,37
10,12,15,18,19,42
1,12,14,18,23,24
8,9,10,20,32,35
5,11,15,25,32,35
2,14,16,22,32,39
6,7,17,20,29,35
11,16,22,25,37,41
22,24,25,26,35,40
3,13,19,22,25,28
9,11,12,13,27,41
13,15,18,25,29,40
18,24,27,30,33,34
2,5,29,32,39,40
1,5,16,20,22,29
3,4,17,20,36,42
2,10,14,17,27,40
3,5,11,20,26,27
1,3,6,16,21,40
9,12,14,28,29,33
1,5,8,22,30,37
6,8,17,24,38,40
5,9,12,24,28,29
4,11,12,20,22,26
2,5,11,13,18,35
2,13,18,20,23,36
16,17,18,27,38,42
4,10,13,14,27,34
5,6,10,18,35,36
9,19,25,29,32,39
5,15,20,26,31,34
12,20,23,33,38,41
6,10,11,17,32,42
2,14,17,26,34,41
1,13,14,15,20,25
6,12,13,25,26,39
16,30,35,36,37,41
6,8,16,26,32,36
2,10,16,21,23,38
9,21,28,32,33,40
4,9,12,16,38,42
4,14,16,26,28,32
6,20,22,35,37,38
2,6,7,12,29,39
1,2,14,17,18,22
2,10,15,23,31,39
10,13,16,18,31,36
2,4,9,22,39,42
5,8,15,19,31,33
7,9,12,20,21,35
8,22,23,33,35,36
9,12,20,26,39,40
8,13,18,19,26,31
15,20,29,34,37,39
16,20,21,27,28,32
3,12,16,20,25,34
2,6,16,21,27,33
2,8,10,28,37,41
12,19,23,30,34,42
5,7,18,25,35,39
3,8,14,17,36,40
4,19,20,26,30,39
4,14,17,21,37,40
3,12,19,27,35,42
5,11,17,18,25,28
9,23,33,37,41,42
1,2,7,11,15,39
1,11,12,27,35,40
1,4,11,20,34,38
6,11,13,30,31,33
2,18,20,21,22,39
1,2,7,15,28,30
4,8,10,20,28,34
1,4,9,14,29,37
4,12,17,18,20,42
10,20,28,29,33,35
3,7,14,15,20,28
8,21,26,29,32,34
2,10,18,23,30,31
4,7,30,31,37,39
2,5,11,14,18,30
8,11,17,22,26,38
1,12,23,28,30,41
3,11,25,33,34,42
2,7,10,17,26,39
1,20,21,29,38,41
1,3,13,21,24,35
2,10,14,16,31,36
11,14,25,31,32,37
3,12,30,31,39,40
4,17,27,29,37,42
4,5,14,22,24,38
13,18,23,24,37,42
21,24,32,36,38,39
2,6,9,24,37,40
1,11,18,20,26,28
8,12,28,33,37,38
2,6,13,27,32,35
1,13,19,29,38,40
6,11,34,38,39,40
14,21,26,34,36,42
2,5,9,16,26,35
17,21,24,26,28,31
12,18,23,38,40,41
11,13,17,21,29,33
8,12,19,21,26,42
14,18,20,22,24,33
2,12,15,27,28,39
2,5,9,11,23,26
10,13,17,18,22,28
3,8,14,17,22,35
3,7,9,24,28,33
5,16,25,40,41,42
6,11,21,32,37,41
12,21,25,28,32,38
4,5,6,28,29,35
4,14,28,32,35,41
8,19,25,26,32,36
4,8,22,34,38,41
1,3,8,26,34,42
7,15,16,28,39,40
6,18,23,29,33,36
1,8,12,33,34,39
8,11,18,22,38,40
8,11,12,20,21,29
3,5,6,19,35,38
1,21,29,30,32,39
3,8,11,18,22,31
1,14,15,18,28,35
2,11,20,22,26,28
1,11,17,24,30,32
5,8,19,22,36,39
2,12,22,28,32,41
1,10,11,14,21,34
5,28,32,33,34,40
3,7,11,12,35,39
2,10,11,24,39,40
2,6,7,15,40,42
18,20,23,26,27,41
4,15,27,32,33,41
14,23,28,32,34,41
4,21,25,29,32,38
12,21,25,27,31,37
2,5,8,16,22,29
2,9,14,36,37,41
6,25,26,32,40,42
