Powerball
5
20
20
22
19
20
15
17
3
10
22
13
14
9
9
12
20
7
16
17
13
20
4
26
23
21
26
1
21
22
9
25
7
8
21
7
9
2
21
9
15
12
16
8
9
21
24
4
5
19
6
1
21
5
25
4
15
14
23
21
1
25
2
23
10
15
23
9
15
23
23
8
23
3
9
16
5
4
5
16
10
26
12
6
16
3
14
17
21
18
14
8
17
9
19
14
4
21
8
21
10
2
4
15
11
2
13
8
1
7
5
4
6
16
26
25
18
20
1
21
9
3
4
12
9
21
13
20
6
21
7
20
26
6
12
5
2
2
21
11
24
18
14
10
14
19
1
5
22
7
4
21
23
9
5
18
5
25
1
13
19
4
26
5
20
16
13
1
3
26
3
22
23
5
13
2
14
25
7
24
21
18
20
13
18
23
3
8
4
12
19
14
1
26
4
7
4
2
20
18
14
24
4
26
25
23
14
25
11
3
12
6
23
1
8
6
3
25
11
25
18
4
14
18
11
1
17
7
14
19
5
14
11
8
4
24
4
4
16
4
23
26
7
15
23
12
2
11
9
7
10
9
5
15
18
23
22
26
3
23
5
14
14
26
22
11
1
17
8
14
12
12
25
9
19
21
14
7
10
20
3
25
2
10
11
21
6
7
20
23
13
23
24
16
18
10
25
15
6
11
5
6
22
26
11
20
14
7
7
1
25
25
4
20
25
9
1
18
14
22
9
7
24
5
2
19
12
3
11
16
12
26
5
12
22
5
21
2
9
24
13
4
26
14
16
4
12
13
25
7
25
5
7
4
16
2
22
15
17
26
11
17
13
9
18
5
10
23
8
1
4
10
8
14
18
26
26
4
18
6
18
11
3
6
24
16
6
17
6
10
2
13
12
19
19
18
3
11
16
17
7
26
10
24
15
14
11
16
16
17
10
22
13
24
9
13
17
22
7
11
19
2
15
2
1
15
4
10
24
6
2
24
17
10
17
22
19
1
23
9
14
8
9
26
8
19
17
24
20
5
12
3
15
24
5
1
15
1
11
12
19
5
19
11
25
21
21
21
24
1
17
8
26
24
15
4
26
18
16
23
14
4
5
10
11
3
10
3
8
24
14
17
1
20
25
10
9
26
19
20
16
8
4
24
17
8
1
3
22
6
25
14
3
16
5
24
6
18
4
19
2
18
18
16
18
21
4
1
20
7
8
5
4
9
14
22
2
14
13
3
5
14
18
6
13
7
20
4
10
4
18
26
11
5
20
13
18
14
24
13
6
26
23
5
18
19
20
18
24
1
14
1
4
21
7
18
10
2
14
23
3
21
24
24
24
26
18
14
9
4
4
5
6
18
8
23
5
10
5
18
18
17
14
21
16
9
11
20
19
20
24
20
18
24
19
2
17
5
4
16
11
16
13
8
8
2
23
14
13
24
11
19
3
25
6
2
13
2
18
8
18
19
3
22
7
26
18
20
14
9
19
10
25
14
18
21
23
12
26
11
25
17
22
21
4
23
12
3
23
2
4
7
4
25
22
15
11
3
6
2
18
14
1
21
20
10
3
3
13
6
6
13
19
10
21
3
1
25
8
24
21
1
14
13
18
8
8
7
2
3
26
4
26
3
2
17
6
4
1
15
10
6
8
18
4
12
5
21
11
14
14
23
21
23
13
2
1
26
25
21
13
6
10
24
20
1
24
22
19
12
25
24
26
16
17
26
10
11
26
21
18
18
5
23
24
25
11
20
4
22
23
15
15
7
15
3
22
8
18
11
3
24
21
13
9
12
8
13
16
16
24
17
2
26
13
26
1
12
11
7
22
10
24
15
25
13
9
1
14
14
7
20
21
7
25
19
14
19
17
6
8
12
19
9
15
18
20
24
21
21
24
25
7
9
22
18
5
16
6
8
2
26
20
10
6
22
7
21
3
21
24
4
26
12
24
3
25
20
11
7
6
9
6
16
4
13
26
25
18
22
13
1
10
8
4
8
11
23
7
24
15
22
19
26
24
19
22
17
26
7
15
4
13
4
19
9
11
18
12
12
9
4
17
9
26
21
16
8
10
13
21
24
13
25
6
9
15
3
9
19
8
21
9
5
26
6
15
13
24
15
13
1
11
16
9
5
16
11
4
19
17
19
2
20
19
2
5
25
10
17
22
2
12
13
24
10
4
9
4
21
3
10
15
15
20
22
7
16
3
21
7
24
2
8
5
23
24
22
23
20
16
9
15
1
1
22
17
14
14
8
21
25
12
20
16
24
8
6
12
12
2
5
24
11
5
26
10
12
18
4
6
25
17
11
10
7
20
17
12
12
15
26
11
9
23
9
3
14
17
13
8
3
22
9
25
3
19
6
25
3
21
23
3
19
6
18
5
25
25
20
5
8
23
18
21
19
24
6
10
13
17
10
22
20
25
10
6
22
1
13
9
2
21
21
6
5
18
15
17
7
10
2
11
19
1
1
9
