draw,drawdate,main1,main2,main3,main4,main5,main6,main7,bonus1,bonus2,sum7,sum9,odd7,even7
390,2020/10/16,3,6,19,21,23,26,27,30,34,125,189,5,2
391,2020/10/23,10,23,27,32,33,35,37,24,26,197,247,5,2
392,2020/10/30,1,4,6,15,20,22,26,18,21,94,133,2,5
393,2020/11/6,7,14,15,22,27,30,31,9,32,146,187,4,3
394,2020/11/13,6,10,22,23,27,32,33,8,19,153,180,3,4
395,2020/11/20,1,2,5,20,26,29,32,8,9,115,132,3,4
396,2020/11/27,2,3,5,8,16,20,34,26,31,88,145,2,5
397,2020/12/4,4,12,13,15,21,28,37,7,20,130,157,4,3
398,2020/12/11,3,4,10,17,20,22,33,1,6,109,116,3,4
399,2020/12/18,7,15,19,20,21,33,36,4,10,151,165,5,2
400,2020/12/25,4,17,22,28,30,31,35,25,34,167,226,3,4
401,2021/1/8,4,5,9,14,18,30,35,1,33,115,149,3,4
402,2021/1/15,7,9,12,17,20,26,29,4,13,120,137,4,3
403,2021/1/22,2,6,8,12,19,20,29,5,26,96,127,2,5
404,2021/1/29,4,8,13,16,25,30,32,9,26,128,163,2,5
405,2021/2/5,3,10,16,17,24,32,36,11,29,138,178,2,5
406,2021/2/12,1,2,5,16,18,21,29,24,25,92,141,4,3
407,2021/2/19,19,21,25,26,28,30,31,9,16,180,205,4,3
408,2021/2/26,16,18,19,21,29,30,35,14,28,168,210,4,3
409,2021/3/5,13,15,16,24,30,31,37,12,33,166,211,4,3
410,2021/3/12,1,2,18,21,26,29,37,9,36,134,179,4,3
411,2021/3/19,4,11,12,21,23,27,36,9,14,134,157,4,3
412,2021/3/26,14,20,22,29,31,33,34,15,24,183,222,3,4
413,2021/4/2,3,10,16,18,19,34,35,27,36,135,198,3,4
414,2021/4/9,3,8,16,21,25,36,37,14,20,146,180,4,3
415,2021/4/16,4,8,12,13,23,32,37,16,35,129,180,3,4
416,2021/4/23,8,9,10,15,16,30,31,29,36,119,184,3,4
417,2021/4/30,4,5,13,18,23,27,32,9,11,122,142,4,3
418,2021/5/7,10,13,17,18,22,28,37,1,20,145,166,3,4
419,2021/5/14,3,11,14,21,26,29,34,22,33,138,193,4,3
420,2021/5/21,4,5,11,13,24,32,34,2,3,123,128,3,4
421,2021/5/28,9,15,18,26,28,32,37,21,36,165,222,3,4
422,2021/6/4,1,9,21,23,30,35,36,5,6,155,166,5,2
423,2021/6/11,1,7,9,11,29,31,32,2,6,120,128,6,1
424,2021/6/18,5,6,12,19,25,30,35,26,33,132,191,4,3
425,2021/6/25,2,9,14,20,22,34,35,7,24,136,167,2,5
426,2021/7/2,1,2,6,8,30,31,33,13,35,111,159,3,4
427,2021/7/9,11,13,26,27,31,33,37,9,18,178,205,6,1
428,2021/7/16,3,6,16,22,31,34,35,24,32,147,203,3,4
429,2021/7/23,6,11,14,27,30,32,35,18,24,155,197,3,4
430,2021/7/30,2,12,17,24,28,30,32,3,27,145,175,1,6
431,2021/8/6,7,11,12,17,19,20,26,2,3,112,117,4,3
432,2021/8/13,5,10,13,24,29,30,35,21,31,146,198,4,3
433,2021/8/20,14,17,20,25,32,33,36,10,34,177,221,3,4
434,2021/8/27,10,11,12,17,29,34,37,26,30,150,206,4,3
435,2021/9/3,3,5,7,11,15,17,25,13,32,83,128,7,0
436,2021/9/10,5,6,21,22,26,31,32,18,36,143,197,3,4
437,2021/9/17,8,10,14,15,23,25,26,1,11,121,133,3,4
438,2021/9/24,4,13,16,21,32,34,37,27,33,157,217,3,4
439,2021/10/1,1,3,6,9,26,29,31,14,18,105,137,5,2
440,2021/10/8,5,10,17,18,19,22,32,14,35,123,172,3,4
441,2021/10/15,15,21,22,23,27,28,37,8,25,173,206,5,2
442,2021/10/22,6,13,14,16,19,30,32,25,36,130,191,2,5
443,2021/10/29,1,5,8,26,28,32,36,23,24,136,183,2,5
444,2021/11/5,11,15,16,17,18,27,29,25,33,133,191,5,2
445,2021/11/12,4,22,25,27,28,30,33,2,3,169,174,3,4
446,2021/11/19,1,7,9,12,15,29,32,11,28,105,144,5,2
447,2021/11/26,3,5,8,13,26,30,37,25,28,122,175,4,3
448,2021/12/3,7,21,24,29,32,36,37,22,27,186,235,4,3
449,2021/12/10,2,21,26,27,32,33,34,8,9,175,192,3,4
450,2021/12/17,2,7,12,15,21,23,30,9,31,110,150,4,3
451,2021/12/24,2,15,22,25,28,33,37,10,17,162,189,4,3
452,2022/1/7,5,17,20,21,31,34,35,8,27,163,198,5,2
453,2022/1/14,2,8,10,21,24,26,35,9,13,126,148,2,5
454,2022/1/21,8,17,21,26,27,29,31,1,33,159,193,5,2
455,2022/1/28,1,5,8,15,18,26,36,33,34,109,176,3,4
456,2022/2/4,9,15,17,18,22,25,31,33,36,137,206,5,2
457,2022/2/11,7,14,19,27,31,35,36,9,33,169,211,5,2
458,2022/2/18,7,11,12,14,19,21,33,6,37,117,160,5,2
459,2022/2/25,2,4,7,8,10,20,29,14,33,80,127,2,5
460,2022/3/4,5,6,9,23,27,28,30,4,13,128,145,4,3
461,2022/3/11,2,13,19,22,32,35,37,14,33,160,207,4,3
462,2022/3/18,7,11,24,27,29,34,35,4,18,167,189,5,2
463,2022/3/25,3,7,13,16,19,24,30,6,10,112,128,4,3
464,2022/4/1,7,8,13,17,30,32,36,1,10,143,154,3,4
465,2022/4/8,1,4,5,13,27,31,35,15,22,116,153,6,1
466,2022/4/15,5,6,8,14,15,25,29,18,33,102,153,4,3
467,2022/4/22,7,8,11,13,14,26,30,31,34,109,174,3,4
468,2022/4/29,3,12,15,16,25,29,37,26,28,137,191,5,2
469,2022/5/6,1,6,8,13,16,30,33,23,28,107,158,3,4
470,2022/5/13,2,3,9,16,27,32,36,1,34,125,160,3,4
471,2022/5/20,3,5,7,8,11,19,34,17,32,87,136,5,2
472,2022/5/27,5,7,8,32,33,34,36,4,6,155,165,3,4
473,2022/6/3,6,11,21,24,28,33,37,8,27,160,195,4,3
474,2022/6/10,3,17,19,21,24,32,34,27,28,150,205,4,3
475,2022/6/17,1,2,22,24,26,31,37,12,19,143,174,3,4
476,2022/6/24,4,7,9,15,22,24,31,21,37,112,170,4,3
477,2022/7/1,2,5,9,19,25,32,37,7,29,129,165,5,2
478,2022/7/8,6,8,11,13,16,20,32,12,34,106,152,2,5
479,2022/7/15,8,11,13,18,24,30,31,21,23,135,179,3,4
480,2022/7/22,10,13,19,21,26,30,36,22,34,155,211,3,4
481,2022/7/29,1,10,13,14,16,25,27,5,21,106,132,4,3
482,2022/8/5,2,5,14,15,17,19,36,8,34,108,150,4,3
483,2022/8/12,2,11,20,23,25,36,37,29,34,154,217,4,3
484,2022/8/19,1,4,6,9,13,22,31,29,30,86,145,4,3
485,2022/8/26,4,6,17,20,22,24,26,8,9,119,136,1,6
486,2022/9/2,8,13,15,23,24,31,35,14,19,149,182,5,2
487,2022/9/9,9,10,13,15,26,34,37,22,36,144,202,4,3
488,2022/9/16,3,13,16,18,19,20,35,2,11,124,137,4,3
489,2022/9/23,3,6,7,15,25,29,31,8,14,116,138,6,1
490,2022/9/30,12,14,18,21,23,29,37,7,15,154,176,4,3
491,2022/10/7,3,14,17,21,22,32,35,6,30,144,180,4,3
492,2022/10/14,7,10,12,15,23,31,37,9,18,135,162,5,2
493,2022/10/21,5,13,14,20,21,25,31,9,36,129,174,5,2
494,2022/10/28,7,9,12,22,28,29,32,17,19,139,175,3,4
495,2022/11/4,2,16,19,20,22,33,36,6,32,148,186,2,5
496,2022/11/11,5,8,15,18,25,27,36,10,26,134,170,4,3
497,2022/11/18,18,20,24,26,27,30,33,17,19,178,214,2,5
498,2022/11/25,6,8,12,20,21,24,29,4,18,120,142,2,5
499,2022/12/2,5,9,14,18,27,32,34,6,12,139,157,3,4
500,2022/12/9,17,18,24,30,31,32,35,6,36,187,229,3,4
501,2022/12/16,1,2,4,7,12,14,31,30,33,71,134,3,4
502,2022/12/23,1,2,12,17,21,22,33,4,30,108,142,4,3
503,2022/12/30,5,7,8,13,23,26,33,31,37,115,183,5,2
504,2023/1/6,1,3,4,5,6,29,31,11,14,79,104,5,2
505,2023/1/13,9,10,12,15,16,28,36,1,23,126,150,2,5
506,2023/1/20,8,14,19,22,29,31,37,3,21,160,184,4,3
507,2023/1/27,4,19,25,26,30,32,36,1,15,172,188,2,5
