draw,drawdate,main1,main2,main3,main4,main5,main6,main7,bonus1,bonus2,sum7,sum9,odd7,even7
90,2014/12/26,2,8,9,13,14,18,37,11,25,101,137,3,4
91,2015/1/9,1,5,7,14,15,25,35,18,24,102,144,6,1
92,2015/1/16,4,5,15,25,26,29,32,11,27,136,174,4,3
93,2015/1/23,2,5,11,14,17,30,32,31,37,111,179,3,4
94,2015/1/30,13,19,20,27,28,29,30,26,36,166,228,4,3
95,2015/2/6,1,8,13,14,18,30,34,26,36,118,180,2,5
96,2015/2/13,9,11,14,21,22,23,24,10,36,124,170,4,3
97,2015/2/20,7,13,14,16,22,24,35,1,29,131,161,3,4
98,2015/2/27,3,9,11,13,19,25,33,10,30,113,153,7,0
99,2015/3/6,13,17,22,24,27,28,35,11,19,166,196,4,3
100,2015/3/13,1,2,11,16,25,35,36,9,14,126,149,4,3
101,2015/3/20,11,12,21,23,28,36,37,3,16,168,187,4,3
102,2015/3/27,1,4,8,27,28,29,31,13,25,128,166,4,3
103,2015/4/3,2,3,11,12,22,35,36,30,34,121,185,3,4
104,2015/4/10,7,9,11,15,16,22,37,12,13,117,142,5,2
105,2015/4/17,3,15,19,20,26,28,33,17,21,144,182,4,3
106,2015/4/24,6,10,12,19,21,22,30,1,11,120,132,2,5
107,2015/5/1,3,8,9,13,17,27,33,29,31,110,170,6,1
108,2015/5/8,2,6,7,8,28,30,36,18,21,117,156,1,6
109,2015/5/15,6,17,20,21,24,30,32,7,23,150,180,2,5
110,2015/5/22,4,12,22,30,31,35,36,19,37,170,226,2,5
111,2015/5/29,7,8,9,24,28,30,33,1,34,139,174,3,4
112,2015/6/5,6,7,10,15,27,35,36,13,20,136,169,4,3
113,2015/6/12,4,6,7,9,15,17,37,14,20,95,129,5,2
114,2015/6/19,8,13,26,27,28,29,37,4,12,168,184,4,3
115,2015/6/26,6,8,13,14,20,25,27,24,26,113,163,3,4
116,2015/7/3,9,14,23,27,28,31,32,3,20,164,187,4,3
117,2015/7/10,9,10,20,28,31,34,37,23,26,169,218,3,4
118,2015/7/17,5,8,9,24,27,28,30,16,20,131,167,3,4
119,2015/7/24,3,6,8,14,15,25,36,24,35,107,166,3,4
120,2015/7/31,2,16,18,26,32,35,37,9,36,166,211,2,5
121,2015/8/7,2,4,13,16,21,30,37,19,29,123,171,3,4
122,2015/8/14,2,16,18,26,27,34,35,5,12,158,175,2,5
123,2015/8/21,1,3,5,8,29,34,36,23,28,116,167,4,3
124,2015/8/28,1,2,15,17,18,22,36,6,27,111,144,3,4
125,2015/9/4,1,6,11,14,19,28,35,18,21,114,153,4,3
126,2015/9/11,4,10,13,16,17,21,27,1,18,108,127,4,3
127,2015/9/18,10,12,15,23,28,30,35,6,25,153,184,3,4
128,2015/9/25,2,4,8,23,26,27,32,3,35,122,160,2,5
129,2015/10/2,5,7,11,19,24,27,30,29,35,123,187,5,2
130,2015/10/9,1,15,20,23,25,31,32,5,24,147,176,5,2
131,2015/10/16,3,4,12,17,32,34,36,23,31,138,192,2,5
132,2015/10/23,7,10,14,16,20,30,31,35,37,128,200,2,5
133,2015/10/30,3,7,13,15,17,21,30,14,27,106,147,6,1
134,2015/11/6,4,9,20,28,30,34,35,12,29,160,201,2,5
135,2015/11/13,8,9,13,14,24,32,34,3,4,134,141,2,5
136,2015/11/20,10,17,24,27,30,33,37,18,31,178,227,4,3
137,2015/11/27,13,19,21,25,27,32,35,16,20,172,208,6,1
138,2015/12/4,2,5,17,20,21,32,33,30,35,130,195,4,3
139,2015/12/11,9,16,18,21,23,34,35,4,36,156,196,4,3
140,2015/12/18,3,11,12,13,17,26,35,1,33,117,151,5,2
141,2015/12/25,2,10,18,30,31,32,36,21,29,159,209,1,6
142,2016/1/8,6,12,14,18,21,27,28,1,33,126,160,2,5
143,2016/1/15,1,3,8,14,28,29,33,4,31,116,151,4,3
144,2016/1/22,2,9,13,18,22,32,36,17,26,132,175,2,5
145,2016/1/29,10,12,18,28,29,30,35,4,19,162,185,2,5
146,2016/2/5,4,10,25,27,28,33,34,15,35,161,211,3,4
147,2016/2/12,1,5,7,12,15,24,25,8,14,89,111,5,2
148,2016/2/19,1,9,11,16,20,30,34,12,33,121,166,3,4
149,2016/2/26,1,4,15,19,22,23,31,12,32,115,159,5,2
150,2016/3/4,6,7,14,20,27,31,34,11,24,139,174,3,4
151,2016/3/11,9,10,13,15,21,22,24,4,8,114,126,4,3
152,2016/3/18,8,12,17,21,23,24,31,6,7,136,149,4,3
153,2016/3/25,7,9,10,16,20,28,37,2,33,127,162,3,4
154,2016/4/1,2,4,19,21,24,28,35,3,13,133,149,3,4
155,2016/4/8,2,9,13,18,22,24,26,10,37,114,161,2,5
156,2016/4/15,4,9,16,19,22,33,34,17,36,137,190,3,4
157,2016/4/22,5,9,16,26,28,29,32,1,37,145,183,3,4
158,2016/4/29,3,6,7,30,32,36,37,5,20,151,176,3,4
159,2016/5/6,10,14,17,21,23,27,31,16,24,143,183,5,2
