Draw Date,Win Num 1,Win Num 2,Win Num 3,Win Num 4,Win Num 5,,,,,,,,,,,,,Cash Ball
4/9/2015,5,7,27,43,50,,,,,,,,,,,,,3
4/13/2015,7,17,26,34,60,,,,,,,,,,,,,3
4/16/2015,1,6,11,13,23,,,,,,,,,,,,,1
4/20/2015,35,36,37,53,56,,,,,,,,,,,,,2
4/23/2015,3,12,30,40,56,,,,,,,,,,,,,1
4/27/2015,13,14,29,46,47,,,,,,,,,,,,,1
4/30/2015,9,26,29,46,58,,,,,,,,,,,,,2
5/4/2015,3,5,21,30,60,,,,,,,,,,,,,2
5/7/2015,4,11,44,47,53,,,,,,,,,,,,,4
5/11/2015,7,8,14,18,52,,,,,,,,,,,,,1
5/14/2015,6,28,34,39,43,,,,,,,,,,,,,1
5/18/2015,16,30,35,38,51,,,,,,,,,,,,,4
5/21/2015,18,22,24,29,56,,,,,,,,,,,,,3
5/25/2015,15,40,48,59,60,,,,,,,,,,,,,2
5/28/2015,8,25,28,33,47,,,,,,,,,,,,,1
6/1/2015,7,10,23,37,56,,,,,,,,,,,,,2
6/4/2015,4,9,32,41,43,,,,,,,,,,,,,2
6/8/2015,33,39,43,49,52,,,,,,,,,,,,,2
6/11/2015,17,24,43,49,57,,,,,,,,,,,,,2
6/15/2015,10,14,16,32,34,,,,,,,,,,,,,4
6/18/2015,1,2,14,29,59,,,,,,,,,,,,,2
6/22/2015,5,26,27,51,59,,,,,,,,,,,,,3
6/25/2015,3,26,27,29,58,,,,,,,,,,,,,3
6/29/2015,1,19,37,49,56,,,,,,,,,,,,,2
7/2/2015,18,19,31,43,54,,,,,,,,,,,,,1
7/6/2015,3,10,30,33,40,,,,,,,,,,,,,1
7/9/2015,19,34,36,54,55,,,,,,,,,,,,,3
7/13/2015,5,23,27,55,57,,,,,,,,,,,,,2
7/16/2015,22,29,47,53,54,,,,,,,,,,,,,1
7/20/2015,10,29,47,48,55,,,,,,,,,,,,,1
7/23/2015,8,26,28,41,52,,,,,,,,,,,,,2
7/27/2015,3,5,36,43,53,,,,,,,,,,,,,1
